Organism;Body Site;Project ID;CDS Count;Contig Count;Contig Locus Min;Contig Locus Max;Contig ASM;Contig CDS;Contig PEP;Contig GBK;Scaffold Count;Scaffold Locus Min;Scaffold Locus Max;Scaffold ASM;Scaffold CDS;Scaffold PEP;Scaffold GBK
Helicobacter pylori GAM252Bi;Gastrointestinal_tract;89253;3230;72;APDQ01000001;APDQ01000072;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.APDQ01000001-APDQ01000072.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.APDQ01000001-APDQ01000072.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.APDQ01000001-APDQ01000072.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.APDQ01000001-APDQ01000072.nuc.gbk;47;KB636413;KB636459;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.KB636413-KB636459.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.KB636413-KB636459.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.KB636413-KB636459.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89253/89253.KB636413-KB636459.nuc.gbk
Slackia piriformis YIT 12062;Gastrointestinal_tract;46425;3598;13;ADMD01000001;ADMD01000013;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.ADMD01000001-ADMD01000013.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.ADMD01000001-ADMD01000013.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.ADMD01000001-ADMD01000013.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.ADMD01000001-ADMD01000013.nuc.gbk;5;JH815198;JH815202;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.JH815198-JH815202.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.JH815198-JH815202.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.JH815198-JH815202.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46425/46425.JH815198-JH815202.nuc.gbk
Listeria grayi DSM 20601;Gastrointestinal_tract;31517;5250;6;ACCR02000001;ACCR02000006;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.ACCR02000001-ACCR02000006.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.ACCR02000001-ACCR02000006.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.ACCR02000001-ACCR02000006.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.ACCR02000001-ACCR02000006.nuc.gbk;4;GL538352;GL538355;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.GL538352-GL538355.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.GL538352-GL538355.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.GL538352-GL538355.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31517/31517.GL538352-GL538355.nuc.gbk
Bacteroides sp. 3_1_40A;Gastrointestinal_tract;38773;9128;186;ACRT01000001;ACRT01000186;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.ACRT01000001-ACRT01000186.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.ACRT01000001-ACRT01000186.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.ACRT01000001-ACRT01000186.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.ACRT01000001-ACRT01000186.nuc.gbk;73;GL635653;GL635725;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.GL635653-GL635725.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.GL635653-GL635725.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.GL635653-GL635725.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38773/38773.GL635653-GL635725.nuc.gbk
Ruminococcus obeum ATCC 29174;Gastrointestinal_tract;18147;8350;62;AAVO02000001;AAVO02000062;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.AAVO02000001-AAVO02000062.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.AAVO02000001-AAVO02000062.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.AAVO02000001-AAVO02000062.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.AAVO02000001-AAVO02000062.nuc.gbk;54;DS264289;DS264342;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.DS264289-DS264342.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.DS264289-DS264342.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.DS264289-DS264342.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18147/18147.DS264289-DS264342.nuc.gbk
Helicobacter pylori GAM201Ai;Gastrointestinal_tract;89233;3300;77;APDC01000001;APDC01000077;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.APDC01000001-APDC01000077.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.APDC01000001-APDC01000077.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.APDC01000001-APDC01000077.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.APDC01000001-APDC01000077.nuc.gbk;49;KB641870;KB641918;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.KB641870-KB641918.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.KB641870-KB641918.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.KB641870-KB641918.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89233/89233.KB641870-KB641918.nuc.gbk
Bacteroides fluxus YIT 12057;Gastrointestinal_tract;48511;7842;117;AFBN01000001;AFBN01000117;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.AFBN01000001-AFBN01000117.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.AFBN01000001-AFBN01000117.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.AFBN01000001-AFBN01000117.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.AFBN01000001-AFBN01000117.nuc.gbk;97;GL882602;GL882698;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.GL882602-GL882698.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.GL882602-GL882698.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.GL882602-GL882698.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48511/48511.GL882602-GL882698.nuc.gbk
Streptococcus equinus ATCC 9812;Gastrointestinal_tract;52999;3586;57;AEVB01000001;AEVB01000057;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.AEVB01000001-AEVB01000057.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.AEVB01000001-AEVB01000057.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.AEVB01000001-AEVB01000057.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.AEVB01000001-AEVB01000057.nuc.gbk;20;GL698429;GL698448;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.GL698429-GL698448.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.GL698429-GL698448.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.GL698429-GL698448.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52999/52999.GL698429-GL698448.nuc.gbk
Proteus penneri ATCC 35198;Gastrointestinal_tract;20551;9818;26;ABVP01000001;ABVP01000026;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.ABVP01000001-ABVP01000026.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.ABVP01000001-ABVP01000026.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.ABVP01000001-ABVP01000026.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.ABVP01000001-ABVP01000026.nuc.gbk;11;GG661994;GG662004;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.GG661994-GG662004.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.GG661994-GG662004.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.GG661994-GG662004.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20551/20551.GG661994-GG662004.nuc.gbk
Roseburia inulinivorans DSM 16841;Gastrointestinal_tract;30757;4415;179;ACFY01000001;ACFY01000179;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30757/30757.ACFY01000001-ACFY01000179.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30757/30757.ACFY01000001-ACFY01000179.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30757/30757.ACFY01000001-ACFY01000179.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30757/30757.ACFY01000001-ACFY01000179.nuc.gbk;;;;;;;
Lactobacillus ruminis ATCC 25644;Gastrointestinal_tract;31499;4502;58;ACGS02000001;ACGS02000058;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.ACGS02000001-ACGS02000058.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.ACGS02000001-ACGS02000058.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.ACGS02000001-ACGS02000058.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.ACGS02000001-ACGS02000058.nuc.gbk;7;GL833109;GL833115;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.GL833109-GL833115.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.GL833109-GL833115.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.GL833109-GL833115.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31499/31499.GL833109-GL833115.nuc.gbk
Alistipes indistinctus YIT 12060;Gastrointestinal_tract;46373;4696;18;ADLD01000001;ADLD01000018;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.ADLD01000001-ADLD01000018.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.ADLD01000001-ADLD01000018.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.ADLD01000001-ADLD01000018.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.ADLD01000001-ADLD01000018.nuc.gbk;6;JH370371;JH370376;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.JH370371-JH370376.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.JH370371-JH370376.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.JH370371-JH370376.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46373/46373.JH370371-JH370376.nuc.gbk
Coprococcus eutactus ATCC 27759;Gastrointestinal_tract;18187;5964;32;ABEY02000001;ABEY02000032;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.ABEY02000001-ABEY02000032.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.ABEY02000001-ABEY02000032.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.ABEY02000001-ABEY02000032.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.ABEY02000001-ABEY02000032.nuc.gbk;23;DS483520;DS483542;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.DS483520-DS483542.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.DS483520-DS483542.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.DS483520-DS483542.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18187/18187.DS483520-DS483542.nuc.gbk
Helicobacter pylori HP250ASii;Gastrointestinal_tract;89311;3250;78;APES01000001;APES01000078;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.APES01000001-APES01000078.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.APES01000001-APES01000078.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.APES01000001-APES01000078.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.APES01000001-APES01000078.nuc.gbk;44;KB636101;KB636144;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.KB636101-KB636144.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.KB636101-KB636144.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.KB636101-KB636144.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89311/89311.KB636101-KB636144.nuc.gbk
Roseburia intestinalis L1-82;Gastrointestinal_tract;30005;9414;409;ABYJ02000001;ABYJ02000409;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.ABYJ02000001-ABYJ02000409.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.ABYJ02000001-ABYJ02000409.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.ABYJ02000001-ABYJ02000409.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.ABYJ02000001-ABYJ02000409.nuc.gbk;102;GG692713;GG692814;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.GG692713-GG692814.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.GG692713-GG692814.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.GG692713-GG692814.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30005/30005.GG692713-GG692814.nuc.gbk
Escherichia coli MS 145-7;Gastrointestinal_tract;40703;5493;143;ADWS01000001;ADWS01000143;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40703/40703.ADWS01000001-ADWS01000143.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40703/40703.ADWS01000001-ADWS01000143.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40703/40703.ADWS01000001-ADWS01000143.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40703/40703.ADWS01000001-ADWS01000143.nuc.gbk;;;;;;;
Helicobacter pylori GAM105Ai;Gastrointestinal_tract;89215;3446;82;APCY01000001;APCY01000082;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.APCY01000001-APCY01000082.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.APCY01000001-APCY01000082.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.APCY01000001-APCY01000082.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.APCY01000001-APCY01000082.nuc.gbk;47;KB636986;KB637032;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.KB636986-KB637032.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.KB636986-KB637032.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.KB636986-KB637032.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89215/89215.KB636986-KB637032.nuc.gbk
Enterococcus faecalis TX1467;Gastrointestinal_tract;47189;7020;220;AFBS01000001;AFBS01000220;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.AFBS01000001-AFBS01000220.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.AFBS01000001-AFBS01000220.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.AFBS01000001-AFBS01000220.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.AFBS01000001-AFBS01000220.nuc.gbk;126;GL883975;GL884100;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.GL883975-GL884100.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.GL883975-GL884100.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.GL883975-GL884100.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47189/47189.GL883975-GL884100.nuc.gbk
Bacillus smithii 7_3_47FAA;Gastrointestinal_tract;40007;6588;175;ACWF01000001;ACWF01000175;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.ACWF01000001-ACWF01000175.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.ACWF01000001-ACWF01000175.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.ACWF01000001-ACWF01000175.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.ACWF01000001-ACWF01000175.nuc.gbk;28;JH414738;JH414765;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.JH414738-JH414765.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.JH414738-JH414765.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.JH414738-JH414765.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40007/40007.JH414738-JH414765.nuc.gbk
Bacteroides sp. 1_1_14;Gastrointestinal_tract;38765;4761;189;ACRP01000001;ACRP01000189;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.ACRP01000001-ACRP01000189.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.ACRP01000001-ACRP01000189.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.ACRP01000001-ACRP01000189.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.ACRP01000001-ACRP01000189.nuc.gbk;57;GG774702;GG774758;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.GG774702-GG774758.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.GG774702-GG774758.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.GG774702-GG774758.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38765/38765.GG774702-GG774758.nuc.gbk
Listeria innocua ATCC 33091;Gastrointestinal_tract;65129;5876;45;AGCN01000001;AGCN01000045;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.AGCN01000001-AGCN01000045.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.AGCN01000001-AGCN01000045.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.AGCN01000001-AGCN01000045.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.AGCN01000001-AGCN01000045.nuc.gbk;17;JH556634;JH556650;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.JH556634-JH556650.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.JH556634-JH556650.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.JH556634-JH556650.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65129/65129.JH556634-JH556650.nuc.gbk
Escherichia coli MS 182-1;Gastrointestinal_tract;47265;10634;456;ADTM01000001;ADTM01000456;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.ADTM01000001-ADTM01000456.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.ADTM01000001-ADTM01000456.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.ADTM01000001-ADTM01000456.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.ADTM01000001-ADTM01000456.nuc.gbk;171;GG771869;GG772039;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.GG771869-GG772039.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.GG771869-GG772039.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.GG771869-GG772039.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47265/47265.GG771869-GG772039.nuc.gbk
Lactobacillus brevis subsp. gravesensis ATCC 27305;Gastrointestinal_tract;31481;6082;178;ACGG01000001;ACGG01000178;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.ACGG01000001-ACGG01000178.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.ACGG01000001-ACGG01000178.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.ACGG01000001-ACGG01000178.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.ACGG01000001-ACGG01000178.nuc.gbk;106;GG669604;GG669709;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.GG669604-GG669709.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.GG669604-GG669709.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.GG669604-GG669709.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31481/31481.GG669604-GG669709.nuc.gbk
